강좌명,학습기관,학습기간,접수기간,강사명,수강료,교육방법,교육대상,교육주기,교육정원,교육장소,교육문의전화,접수방법,직업능력개발_훈련비지원,교육공고_링크,조회수
3.[정규]치매재활 활동가 양성 과정,서구평생학습관,2024.10.16 ~ 2024.12.18,2024.09.24 ~ 2024.10.13,,무료,,고등학생,,30,서구평생학습관,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1652&menuCd=DOM_000000703001004000,0
가을 따라 숲길 따라 사하林 [산림치유 프로그램],사하구평생학습관,2024.10.16 ~ 2024.11.20,2024.08.22 ~ 2024.10.09,김영정외,무료,Offline (오프라인),일반성인,수 | 09:30 ~ 12:00,15,"사하구평생학습관, 승학산 치유의 숲",051-220-5546~8,온라인접수,수강료 미지원,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5664,0
[오감만족 문화예술] 가요와 함께 만나는 합창 *10.23 휴강*,사하구평생학습관,2024.10.16 ~ 2024.11.06,2024.08.22 ~ 2024.10.09,윤성원,무료,Offline (오프라인),일반성인,수 | 10:00 ~ 12:00,20,사하구평생학습관,051-220-5546~8,온라인접수,수강료 미지원,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5663,0
[한걸음]천연생활용품,서구평생학습관,2024.10.16 ~ 2024.11.06,2024.09.25 ~ 2024.10.11,,무료,,고등학생,,10,소윤아뜰리에,051-240-4045,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1674&menuCd=DOM_000000703001004000,0
[모모라미스튜디오] 왕초보 나이프화 - 겨울(야간),부산진구평생학습관,2024.10.16 ~ 2024.10.30,2024.08.23 ~ 2024.09.02,김하영,무료,Offline (오프라인),기타,,8,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7028&lectureCode=20240814CUJF1901&menuCd=DOM_000001501002000000&orgLectGubun=life&period=137&periodLimit=N&limitNum=99&seqAry=,0
책과 함께하는 힐링 플랜테리어,영도구평생학습관,2024.10.16 ~ 2024.10.23,2024.10.08 ~ 2024.10.16,권진아,무료,Offline (오프라인),기타,,10,지혜+강의실,051-419-4832,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2928,0
(10/16) 퍼스널 골격(체형) 진단 & 스타일링,북구평생학습관,2024.10.16 ~ 2024.10.16,2024.08.16 ~ 2024.10.09,,무료,Offline (오프라인),일반성인,수,12,만덕도서관 회의실,,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2443,0
1.[정규]천마산 이야기를 담은 창작 동화책 제작 과정,서구평생학습관,2024.10.15 ~ 2024.12.03,2024.09.24 ~ 2024.10.13,,무료,,고등학생,,15,서구평생학습관,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1650&menuCd=DOM_000000703001004000,0
하반기 영어 Theme English(원어민)초등1~2학년,영도구평생학습관,2024.10.15 ~ 2024.11.26,2024.09.12 ~ 2024.10.10,TIMSander,무료,Offline (오프라인),기타,,15,2층 Multipurpose-room,051-419-5673,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2916,0
하반기 영어 Theme English(원어민)초등1~2학년,영도구평생학습관,2024.10.15 ~ 2024.11.25,2024.09.12 ~ 2024.10.10,TIMSander,무료,Offline (오프라인),기타,,15,2층 Multipurpose-room,051-419-5673,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2916,0
청년을 위한 자산 관리 방법과 기초 재테크 *청년(19~39세) 우선 선발*,사하구평생학습관,2024.10.15 ~ 2024.11.12,2024.08.22 ~ 2024.10.08,임주은,무료,Offline (오프라인),일반성인,화 | 19:00 ~ 21:00,30,사하구평생학습관,051-220-5546~8,온라인접수,수강료 미지원,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5659,0
함께 실천해요! 환경테라피 지구품愛,북구평생학습관,2024.10.15 ~ 2024.11.05,2024.08.16 ~ 2024.10.08,,10000원,Offline (오프라인),일반성인,화,12,만덕도서관 회의실,,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2438,0
[한걸음]베이킹클래스,서구평생학습관,2024.10.15 ~ 2024.11.05,2024.09.25 ~ 2024.10.11,,무료,,고등학생,,8,부산더푸디요리연구소,051-240-4045,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1673&menuCd=DOM_000000703001004000,0
[BLESS 4U] (10/15) 치매 방지에 최고! <색소폰> 무엇이든 물어보세요,북구평생학습관,2024.10.15 ~ 2024.10.15,2024.09.23 ~ 2024.10.11,,무료,Offline (오프라인),일반성인,화,12,만덕도서관 3층 회의실,051-309-6172,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2467,0
[박람회공방존] 터프팅 키링 만들기(오후),부산진구평생학습관,2024.10.15 ~ 2024.10.15,2024.10.10 ~ 2024.10.14,김하영,무료,Offline (오프라인),기타,,20,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7285&lectureCode=20241009GJKQ0211&menuCd=DOM_000001501002000000&orgLectGubun=life&period=139&periodLimit=N&limitNum=1&seqAry=,0
[박람회공방존] 실크스크린 양말 만들기(오전),부산진구평생학습관,2024.10.15 ~ 2024.10.15,2024.10.10 ~ 2024.10.14,김하영,무료,Offline (오프라인),기타,,20,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7276&lectureCode=20241009YDOG4454&menuCd=DOM_000001501002000000&orgLectGubun=life&period=139&periodLimit=N&limitNum=1&seqAry=,0
[박람회공방존] 한송이 빼빼로 플라워 만들기(오전),부산진구평생학습관,2024.10.15 ~ 2024.10.15,2024.10.10 ~ 2024.10.14,김하영,무료,Offline (오프라인),기타,,20,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7272&lectureCode=20241009YGMB2607&menuCd=DOM_000001501002000000&orgLectGubun=life&period=139&periodLimit=N&limitNum=1&seqAry=,0
[박람회공방존] 앙금플라워 백설기 만들기(오후),부산진구평생학습관,2024.10.15 ~ 2024.10.15,2024.10.10 ~ 2024.10.14,김하영,무료,Offline (오프라인),기타,,20,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7287&lectureCode=20241009BKKQ8183&menuCd=DOM_000001501002000000&orgLectGubun=life&period=139&periodLimit=N&limitNum=1&seqAry=,0
[박람회공방존] 쥬얼리 점토 큐빅 목걸이 만들기(오후),부산진구평생학습관,2024.10.15 ~ 2024.10.15,2024.10.10 ~ 2024.10.14,김하영,무료,Offline (오프라인),기타,,20,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7279&lectureCode=20241009PGGH4662&menuCd=DOM_000001501002000000&orgLectGubun=life&period=139&periodLimit=N&limitNum=1&seqAry=,0
[박람회공방존] 포춘 파우치 만들기(오전),부산진구평생학습관,2024.10.15 ~ 2024.10.15,2024.10.10 ~ 2024.10.14,김하영,무료,Offline (오프라인),기타,,20,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7274&lectureCode=20241009AIZU3418&menuCd=DOM_000001501002000000&orgLectGubun=life&period=139&periodLimit=N&limitNum=1&seqAry=,0
[박람회공방존] 모루 꽃 한송이 만들기(오후),부산진구평생학습관,2024.10.15 ~ 2024.10.15,2024.10.10 ~ 2024.10.14,김하영,무료,Offline (오프라인),기타,,20,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7283&lectureCode=20241009XMQP3811&menuCd=DOM_000001501002000000&orgLectGubun=life&period=139&periodLimit=N&limitNum=1&seqAry=,0
[박람회공방존] 캘리그라피 LED 아크릴 무드등(오후),부산진구평생학습관,2024.10.15 ~ 2024.10.15,2024.10.10 ~ 2024.10.14,김하영,무료,Offline (오프라인),기타,,20,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7291&lectureCode=20241009BTRZ5533&menuCd=DOM_000001501002000000&orgLectGubun=life&period=139&periodLimit=N&limitNum=1&seqAry=,0
[BLESS 4U] (10/15) 치매 방지에 최고! '색소폰' 무엇이든 물어보세요,북구평생학습관,2024.10.15 ~ 2024.10.15,2024.09.23 ~ 2024.10.11,,무료,Offline (오프라인),일반성인,화,12,만덕도서관 3층 회의실,051-309-6172,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2467,0
[박람회공방존] 곰돌이 쿠키 꾸미기(오전),부산진구평생학습관,2024.10.15 ~ 2024.10.15,2024.10.10 ~ 2024.10.14,김하영,무료,Offline (오프라인),기타,,20,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7280&lectureCode=20241009YBQM6006&menuCd=DOM_000001501002000000&orgLectGubun=life&period=139&periodLimit=N&limitNum=1&seqAry=,0
[박람회공방존] 스칸디아모스 미니모스화분 만들기(오전),부산진구평생학습관,2024.10.15 ~ 2024.10.15,2024.10.10 ~ 2024.10.14,김하영,무료,Offline (오프라인),기타,,20,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7288&lectureCode=20241009ZKCR3378&menuCd=DOM_000001501002000000&orgLectGubun=life&period=139&periodLimit=N&limitNum=1&seqAry=,0
아름다운 선으로 완성하는 문인화,부산진구평생학습관,2024.10.14 ~ 2024.12.09,2024.10.04 ~ 2024.10.09,최명숙,무료,Offline (오프라인),일반성인,,15,강의실3,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7134&lectureCode=20241004CIAO1361&menuCd=DOM_000001501002000000&orgLectGubun=life&period=138&periodLimit=Y&limitNum=3&seqAry=,0
[한걸음]오감만족 미식여행,서구평생학습관,2024.10.14 ~ 2024.11.04,2024.09.25 ~ 2024.10.11,,무료,,고등학생,,8,코노셔,051-240-4045,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1672&menuCd=DOM_000000703001004000,0
[한걸음]에스프레소&애플마티니 칵테일,서구평생학습관,2024.10.14 ~ 2024.10.14,2024.09.25 ~ 2024.10.11,,무료,,고등학생,,10,서구평생학습관,051-240-4045,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1678&menuCd=DOM_000000703001004000,0
[베이킹숲] 나만의 홈베이킹 (주말/2기),부산진구평생학습관,2024.10.12 ~ 2024.11.09,2024.08.23 ~ 2024.09.02,김하영,무료,Offline (오프라인),기타,,6,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7023&lectureCode=20240814QAUW7152&menuCd=DOM_000001501002000000&orgLectGubun=life&period=137&periodLimit=N&limitNum=99&seqAry=,0
2024년 영도에서 떠나는 유럽예술여행(4기),영도구평생학습관,2024.10.12 ~ 2024.11.02,2024.08.14 ~ 2024.09.30,김성민,20000원,Offline (오프라인),기타,,30,영도국민체육센터 2층 동백홀,051-419-5562,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2861,0
10월 토요스토리텔링,영도구평생학습관,2024.10.12 ~ 2024.10.12,2024.10.02 ~ 2024.10.12,,무료,Offline (오프라인),기타,,10,,051-419-4839,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2925,0
7.[정규] 이야기할머니 양성 과정(동화구연지도사 자격증),서구평생학습관,2024.10.11 ~ 2024.12.20,2024.09.24 ~ 2024.10.13,,무료,,고등학생,,30,서구평생학습관,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1656&menuCd=DOM_000000703001004000,0
기타교실(클래식&포크),영도구평생학습관,2024.10.11 ~ 2024.12.13,2024.09.19 ~ 2024.09.30,고충진,60000원,Offline (오프라인),기타,,20,영도국민체육센터 다목적홀,--,,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2907,0
22.[줌(zoom)온라인] 두피건강과 얼굴이 작아지는 셀프마사지,서구평생학습관,2024.10.11 ~ 2024.12.13,2024.09.24 ~ 2024.10.13,,무료,,고등학생,,50,실시간온라인 줌(Zoom),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1671&menuCd=DOM_000000703001004000,0
10월 폴짝폴짝 체험형 동화구연(10.11.) B반,영도구평생학습관,2024.10.11 ~ 2024.10.11,2024.09.24 ~ 2024.10.10,이근희,무료,Offline (오프라인),기타,,7,영도도서관 지하1층 폴짝폴짝,051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2924,0
10월 폴짝폴짝 체험형 동화구연(10.11.) A반,영도구평생학습관,2024.10.11 ~ 2024.10.11,2024.09.24 ~ 2024.10.10,이근희,무료,Offline (오프라인),기타,,7,영도도서관 지하1층 폴짝폴짝,051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2923,0
움직임 명상(스스로 치유하는 몸),영도구평생학습관,2024.10.10 ~ 2024.12.19,2024.09.19 ~ 2024.09.30,손미란,60000원,Offline (오프라인),기타,,15,영도문화예술회관 제4연습실,--,,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2906,0
기초 탄탄! 일본어 동사활용 회화(초급),부산진구평생학습관,2024.10.10 ~ 2024.12.12,2024.09.05 ~ 2024.09.11,김하영,무료,Offline (오프라인),일반성인,,25,강의실3,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7106&lectureCode=20240828LBJQ3907&menuCd=DOM_000001501002000000&orgLectGubun=life&period=138&periodLimit=Y&limitNum=3&seqAry=,0
"4.[부모, 조부모]금쪽같은 우리아이 긍정적 훈육법",서구평생학습관,2024.10.10 ~ 2024.12.05,2024.09.24 ~ 2024.10.13,,무료,,고등학생,,20,서구평생학습관,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1653&menuCd=DOM_000000703001004000,0
[상희플라워] 플로리스트로 꿈을 키우다(주간),부산진구평생학습관,2024.10.10 ~ 2024.11.28,2024.08.23 ~ 2024.09.02,김하영,무료,Offline (오프라인),기타,,8,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7010&lectureCode=20240814DXMS4823&menuCd=DOM_000001501002000000&orgLectGubun=life&period=137&periodLimit=N&limitNum=99&seqAry=,0
[상희플라워] 플로리스트로 꿈을 키우다(야간),부산진구평생학습관,2024.10.10 ~ 2024.11.28,2024.08.23 ~ 2024.09.02,김하영,무료,Offline (오프라인),기타,,8,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7009&lectureCode=20240814VLWC1957&menuCd=DOM_000001501002000000&orgLectGubun=life&period=137&periodLimit=N&limitNum=99&seqAry=,0
5. 나도 영화감독! 스마트폰으로 단편영화 영상 제작,서구평생학습관,2024.10.10 ~ 2024.11.28,2024.09.24 ~ 2024.10.13,,무료,,고등학생,,20,서구평생학습관,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1654&menuCd=DOM_000000703001004000,0
[우리동네 인문학 교실] 쉽고 재미있는 클래식 에세이,북구평생학습관,2024.10.10 ~ 2024.11.28,2024.08.05 ~ 2024.09.30,,무료,Offline (오프라인),일반성인,목,15,동원종합사회복지관,,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2418,0
[위드아이센터] 마크라메로 만드는 따뜻한 인테리어 소품,부산진구평생학습관,2024.10.10 ~ 2024.11.28,2024.08.23 ~ 2024.09.02,김하영,무료,Offline (오프라인),기타,,8,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7001&lectureCode=20240814HMOZ1717&menuCd=DOM_000001501002000000&orgLectGubun=life&period=137&periodLimit=N&limitNum=99&seqAry=,0
[위드아이센터] 마크라메로 만드는 따뜻한 인테리어 소품(야간),부산진구평생학습관,2024.10.10 ~ 2024.11.14,2024.08.23 ~ 2024.09.02,김하영,무료,Offline (오프라인),기타,,8,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7001&lectureCode=20240814HMOZ1717&menuCd=DOM_000001501002000000&orgLectGubun=life&period=137&periodLimit=N&limitNum=99&seqAry=,0
[송협주판화공방] 실크스크린 아카데미(10월),부산진구평생학습관,2024.10.10 ~ 2024.10.31,2024.08.23 ~ 2024.09.02,김하영,무료,Offline (오프라인),기타,,8,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7015&lectureCode=20240814JBVL5980&menuCd=DOM_000001501002000000&orgLectGubun=life&period=137&periodLimit=N&limitNum=99&seqAry=,0
감성을 담은 도자기 공예,부산진구평생학습관,2024.10.10 ~ 2024.10.31,2024.09.05 ~ 2024.09.11,박용오,무료,Offline (오프라인),일반성인,,10,강의실2,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7115&lectureCode=20240828UJSN8313&menuCd=DOM_000001501002000000&orgLectGubun=life&period=138&periodLimit=Y&limitNum=3&seqAry=,0
[폐강] 감성을 담은 도자기 공예,부산진구평생학습관,2024.10.10 ~ 2024.10.31,2024.09.05 ~ 2024.09.11,박용오,무료,Offline (오프라인),일반성인,,10,강의실2,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7115&lectureCode=20240828UJSN8313&menuCd=DOM_000001501002000000&orgLectGubun=life&period=138&periodLimit=Y&limitNum=3&seqAry=,0
8.[야간특강] 하나뿐인 나만의 수제도장,서구평생학습관,2024.10.10 ~ 2024.10.10,2024.09.24 ~ 2024.10.09,,무료,,고등학생,,30,서구평생학습관,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1657&menuCd=DOM_000000703001004000,0
통합실버케어전문가 자격과정(10/8 개강),사하구평생학습관,2024.10.08 ~ 2024.12.24,2024.08.22 ~ 2024.09.24,양영주,무료,Offline (오프라인),일반성인,화 | 14:00 ~ 17:00,30,사하구평생학습관,051-220-5546~8,온라인접수,수강료 미지원,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5670,0
퀼트·프랑스 자수,영도구평생학습관,2024.10.08 ~ 2024.12.24,2024.09.19 ~ 2024.09.30,김운영,60000원,Offline (오프라인),기타,,15,영도국민체육센터 동백홀,--,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2902,0
바른자세 필라테스,부산진구평생학습관,2024.10.08 ~ 2024.12.17,2024.09.05 ~ 2024.09.11,강지현,무료,Offline (오프라인),일반성인,,15,다목적홀,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7088&lectureCode=20240828LIJH8843&menuCd=DOM_000001501002000000&orgLectGubun=life&period=138&periodLimit=Y&limitNum=3&seqAry=,0
21.[줌(zoom)온라인] 10주 완성 연필스케치 기초,서구평생학습관,2024.10.08 ~ 2024.12.10,2024.09.24 ~ 2024.10.13,,무료,,고등학생,,50,실시간온라인 줌(Zoom),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1670&menuCd=DOM_000000703001004000,0
색연필로 그리는 그림책 속 숨은 명화,북구평생학습관,2024.10.08 ~ 2024.12.03,2024.08.16 ~ 2024.10.01,,20000원,Offline (오프라인),일반성인,화,15,만덕도서관 다목적실,,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2432,0
[디지털배움터] 카드뉴스 제작반,사하구평생학습관,2024.10.08 ~ 2024.10.31,2024.08.22 ~ 2024.10.01,박아영,무료,Offline (오프라인),일반성인,목 | 10:00 ~ 12:00,20,사하구평생학습관,051-220-5546~8,온라인접수,수강료 미지원,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5668,0
[BLESS 4U] (10/8) 스마트폰 기초 <설정>편,북구평생학습관,2024.10.08 ~ 2024.10.08,2024.09.23 ~ 2024.10.04,,무료,Offline (오프라인),일반성인,화,12,만덕도서관 3층 회의실,051-309-6172,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2466,0
"고전문학, 세계사와 함께 읽기",사하구평생학습관,2024.10.07 ~ 2024.12.23,2024.08.22 ~ 2024.09.30,조윤솔,무료,Offline (오프라인),일반성인,월 | 10:00 ~ 12:00,30,사하구평생학습관,051-220-5546~8,온라인접수,수강료 미지원,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5672,0
색소폰,영도구평생학습관,2024.10.07 ~ 2024.12.23,2024.09.19 ~ 2024.09.30,이기봉,60000원,Offline (오프라인),기타,,20,영도국민체육센터 다목적홀,--,,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2901,0
9.**신중년인생이모작** 근골격계질환 예방관리법,서구평생학습관,2024.10.07 ~ 2024.12.09,2024.08.12 ~ 2024.08.23,,무료,,고등학생,,15,서구청 평생학습관 2강의실,051-240-4042,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1638&menuCd=DOM_000000703001004000,0
[위드아이센터] 토퍼로 창업! 기초 클래스,부산진구평생학습관,2024.10.07 ~ 2024.11.25,2024.08.23 ~ 2024.09.02,김하영,무료,Offline (오프라인),기타,,8,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=6997&lectureCode=20240814GFJQ4853&menuCd=DOM_000001501002000000&orgLectGubun=life&period=137&periodLimit=N&limitNum=99&seqAry=,0
[위드아이센터] 토퍼로 창업! 기초 클래스(야간),부산진구평생학습관,2024.10.07 ~ 2024.11.25,2024.08.23 ~ 2024.09.02,김하영,무료,Offline (오프라인),기타,,8,기타,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=6997&lectureCode=20240814GFJQ4853&menuCd=DOM_000001501002000000&orgLectGubun=life&period=137&periodLimit=N&limitNum=99&seqAry=,0
20.[줌(zoom)온라인] 쉽게 배워 당장 써먹는 절세비법(연말정산과 세금이야기),서구평생학습관,2024.10.07 ~ 2024.11.04,2024.09.24 ~ 2024.10.13,,무료,,고등학생,,50,실시간온라인 줌(Zoom),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1669&menuCd=DOM_000000703001004000,0
[10월] 왕초보 컴퓨터 입문,부산진구평생학습관,2024.10.07 ~ 2024.10.30,2024.09.24 ~ 2024.09.26,안정숙,무료,Offline (오프라인),일반성인,,30,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7129&lectureCode=20240911JPPR0100&menuCd=DOM_000001501001001000&orgLectGubun=info&period=80&periodLimit=Y&limitNum=1&seqAry=,0
[10월] 인터넷 활용,부산진구평생학습관,2024.10.07 ~ 2024.10.30,2024.09.24 ~ 2024.09.26,안정숙,무료,Offline (오프라인),일반성인,,30,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7130&lectureCode=20240911JUCJ9889&menuCd=DOM_000001501001001000&orgLectGubun=info&period=80&periodLimit=Y&limitNum=1&seqAry=,0
[10월] 한셀로 계산하기,부산진구평생학습관,2024.10.07 ~ 2024.10.30,2024.09.24 ~ 2024.09.26,안정숙,무료,Offline (오프라인),일반성인,,20,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7131&lectureCode=20240911ADFX8102&menuCd=DOM_000001501001001000&orgLectGubun=info&period=80&periodLimit=Y&limitNum=1&seqAry=,0
[10월] 실무 엑셀,부산진구평생학습관,2024.10.07 ~ 2024.10.30,2024.09.24 ~ 2024.09.26,안정숙,무료,Offline (오프라인),일반성인,,30,전산교육장,051-605-6382,온라인접수,수강료 미지원,http://www.busanjin.go.kr/user/lifelong/lecture/eduDetail.busanjin?pageIndex=1&pageSize=5&idx=7128&lectureCode=20240911WKVN3018&menuCd=DOM_000001501001001000&orgLectGubun=info&period=80&periodLimit=Y&limitNum=1&seqAry=,0
"제429회 영도 아카데미 전한길 강사 ""일타강사 전한길이 전하는 성공과 행복""",영도구평생학습관,2024.10.07 ~ 2024.10.07,2024.09.23 ~ 2024.10.04,전한길,무료,Offline (오프라인),기타,,350,영도구청 대강당,051-419-4512,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2913,0
"클래식 발레(6~7세반,13시)",영도구평생학습관,2024.10.05 ~ 2024.12.21,2024.09.19 ~ 2024.09.30,박소희,60000원,Offline (오프라인),기타,,15,영도문화예술회관 제4연습실,--,,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2909,0
"클래식 발레(6~7세반,12시)",영도구평생학습관,2024.10.05 ~ 2024.12.21,2024.09.19 ~ 2024.09.30,박소희,60000원,Offline (오프라인),기타,,15,영도문화예술회관 제4연습실,--,,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2908,0
