출처,기업명,제목,급여,등록일,마감일,근무지역,경력,학력,근무형태,근무직종,연락처,세부내용,자격면허,링크
워크넷,부경공영주식회사,아파트 경비원 구인(일광),월급 272만원 ~ 272만원,24/09/12,24/09/30 마감,부산광역시 기장군 일광읍 해빛로 39-15 (일광자이푸르지오 1단지),관계없음,학력무관,"주 4일 근무
(주 소정근로시간: 40시간)",상용 인력 공급 및 인사관리 서비스업,,"<td>
              
              ㅁ 업 체 명 : 부경공영(주)<br/>ㅁ 근무위치 : 기장군 해빛로 29 일광자이푸르지오 1,2단지<br/>ㅁ 모집직종 : 아파트 경비원 1명<br/>ㅁ 우대사항 : 경비신임교육이수증(필수) <br/>ㅁ 근무시간 : 주간 : 07:00~18:00 / 야간 : 18:00~07:00 (휴게시간 주간1시간, 야간1시간)/3조 2교대(주주,야야,비비)<br/>                   12개월 계약직, 계약만료 후 상용직검토<br/>ㅁ 급여사항 : 월 272만원<br/>ㅁ 복리후생 : 4대보험, 퇴직연금<br/>ㅁ 접수방법 : 전화 후 접수방법 문의 - 이력서<br/>***접수마감일 : 24년 9월 30일까지<br/>ㅁ 문      의 : 010-2846-6351(051-891-2920)
            </td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBD002409120003&rtnTarget=list7
워크넷,서진재가노인복지센터,[당리동] 재가요양보호사 모집,"시급 9,860원 이상",24/09/12,정보 없음,"부산광역시 사하구 승학로131번길 55, . (당리동, 거남빌라)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",사회복지 서비스업,051-220-5695,"<td>
              
              [당리동] 재가요양보호사 모집<br/>- 4등급 80대 여자어르신(독거)<br/>- 09:00~12:00(주5일)<br/>- 시급 12,500원(수당포함)<br/>- 말벗, 정서지원 및 간단한 가사업무<br/><br/>*사하구청 일자리지원센터 채용대행중입니다. <br/>지원문의 : 051-220-5695 실제 구직지원 의사 있는 분들만 지원부탁드립니다.
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBK002409120003&rtnTarget=list8
워크넷,기부나눔협동조합,(효나눔재가복지센터) 재가요양보호사 모집(일광),"시급 9,860원 ~ 9,860원",24/09/12,24/09/30 마감,"부산광역시 기장군 일광읍 이천4길 5-13, 구)한국유리 근처",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 18시간)",방문 복지서비스 제공업,,"<td>
              
              ㅁ 기부나눔협동조합 재가요양보호사 <br/>ㅁ 대상자 : 4등급 74세 남자어르신 <br/>ㅁ 근무지 :일광읍 이천4길, (구)한국유리 근처<br/>ㅁ 직무내용 :신체/가사활동 지원 및 정서지원<br/>ㅁ 근무시간 : 주6일,06:00~09:00 <br/>ㅁ 시급 12,500원 (수당포함)<br/>ㅁ 접수방법 : 전화 후 방문 (1년 이내 건강검진결과지, 요양보호사자격증 사본)<br/>ㅁ 채용담당자 : 051-723-9492 / 010-3044-2295 //<br/><br/>*** 실제 서비스 제공기간에 따라 임금을 계산하여  지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBD002409120002&rtnTarget=list9
워크넷,한빛노인복지센터,[감천동 감천유림2차아파트] _재가요양보호사 구인,"시급 12,500원 이상",24/09/12,정보 없음,"부산광역시 사하구 사하로 80 (감천동, 감천유림2차아파트)",관계없음,학력무관,"주 3일 근무
(주 소정근로시간: 9시간)",방문 복지서비스 제공업,051-220-5696,"<td>
              
              [감천동, 감천유림2차아파트] 재가요양보호사 <br/>- 4등급 여자어르신(83세) /독거, 거동가능  <br/>- 13~16시 주3일(월수금 또는 화목토)<br/>- 기본시급 : 9,860원 (제수당 포함 12,500원) <br/>- 업무내용 : 재가요양보호사전반적 업무<br/><br/>* 부산 사하구청 일자리지원센터에서 서류전형 채용대행접수 진행중입니다.<br/> 051-220-5696으로 전화지원바랍니다.<br/>
</td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBK002409120002&rtnTarget=list10
워크넷,금곡재가센터,[동삼동] 재가 요양보호사,"시급 9,860원 이상",24/09/12,정보 없음,"부산광역시 영도구 본산남길22번길 16, . (동삼동)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",그 외 기타 비거주 복지 서비스업,,"<td>
              
              [ 영도 동삼동 재가요양보호사 ]<br/><br/>▶ 대상자: 2등급/ 할아버지/ 80대후반 / 따님과 거주중이나 근무시 부재<br/>▶ 근무시간: 12:00~15:00시(3시간) / 주5일(월~금)<br/>▶ 일상생활지원, 기저귀착용<br/>▶ 시급: 13,000원 (각종 제수당 포함) + 중증수당 별도지급 (3,000원)<br/>▶ 차비 30,000지원<br/>▶ 담당자 센터장 010-3517-6120 전화 지원<br/><br/>● 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.<br/>
</td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBI002409120001&rtnTarget=list1
워크넷,(주)타워씨앤에스,[우동] 더샾 아델리스 오피스텔 남여 사우나실 미화원 구인,월급 163만원 ~ 163만원,24/09/12,정보 없음,"부산광역시 해운대구 마린시티3로 51, . (우동)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 24시간)",경비 및 경호 서비스업,,"<td>
              
              [우동] 더샾 아델리스 오피스텔  사우나실 미화원 구인<br/>▶인      원 : 1명(남여 사우나실)<br/>▶근무장소 : 해운대구 마린시티3로 51<br/>▶근무시간 : 주6일  (화~일); 19:30~23:30(4시간)/ 매주 월요일 휴무<br/>▶급      여 : 163만원<br/>▶필수사항 : 안경착용자 및 흡연자 비희망<br/>▶지원방법 : 담당자(010-3579-4788) 통화 후 방문 요망
            </td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBQ002409120002&rtnTarget=list2
워크넷,샬롬재가복지센터,[온천동] 재가요양보호사 모집,"시급 9,860원 ~ 12,500원",24/09/12,24/11/11 마감,"부산광역시 동래구 온천장로 20, 명륜역 3번출구 인근 (온천동, 신화타워아파트)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",방문 복지서비스 제공업,,"<td>
              
              [온천동] 재가요양보호사 모집합니다.<br/><br/>- 동래구 온천장로 20, 신화타워아파트 (명륜역 3번출구 인근)<br/>- 4등급 80대 남자어르신, 손녀와 거주 (케어시간부재)<br/>- 주 5일/ 09:00~12:00<br/>- 시급 : 9,860원 (수당포함 시 약 12,500원) <br/>- 가사지원, 식사, 일상생활 지원 등 (청소, 음식 챙겨드리기)<br/><br/>※ 문의 010-5474-8082 / 051-416-8926 [샬롬재가복지센터] ※
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBG002409120002&rtnTarget=list3
워크넷,가연요양지원센터,주간보호센터 시설요양보호사 채용,월급 206만원 ~ 215만원,24/09/12,정보 없음,부산광역시 금정구 동부곡로19번길 3 (부곡동),경력 (최소 1년 0 개월 이상) 우대,학력무관,"주 5일 근무
(주 소정근로시간: 40시간)",그 외 기타 비거주 복지 서비스업,,"<td>
              
              [가연요양지원센터]<br/>- 주간보호센터 시설요양보호사 채용<br/>- 근무지 : 금정구 동부곡로19번길 3<br/>- 근무시간 : 07:40~17:00 / 주5일<br/>- 임금 : 월2,060,740원~2,150,000원<br/>- 경력자 우대 (1년이상)<br/>- 송영지원 : 운전면허 1종보통 (스타렉스 운전가능자)<br/>- 학습 지원하기, 인지력향상지원하기, 일상생활 함께하기<br/>- 문의 : 518-0904 (010-6561-0904)
            </td>","요양보호사1급(필수) ,
자동차운전면허1종보통(필수)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBC002409120001&rtnTarget=list4
워크넷,꽃'들 재가요양센터,[화명동] 4등급 독거 할머니 / 09:00-12:00 / 주5일 / 9월 19일 부터 근무 예정 / 재가요양보호사 모집,"시급 9,860원 ~ 9,860원",24/09/12,정보 없음,"부산광역시 북구 화명신도시로 145, .. (화명동, 대우이안)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",노인 요양 복지시설 운영업,,"<td>
              
              [ 화명동 대우이안 ]<br/>- 4등급 60대 독거 할머니<br/>- 일반적인요양보호사 업무, 유방암 거의 완치 상태 (채식 위주 식사)<br/>- 근무시간 : 09:00~12:00 (주 5회)<br/>- 시급: 12,700원(주휴및 제 수당포함)
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBJ002409120001&rtnTarget=list5
워크넷,국민방문요양센터,[장전동] 재가요양보호사 채용,"시급 9,860원 이상",24/09/11,정보 없음,"부산광역시 금정구 금강로279번안길 33, , (장전동)",관계없음,학력무관,"주 3일 근무
(주 소정근로시간: 9시간)",방문 복지서비스 제공업,,"<td>
              
              [장전동] 재가요양보호사 채용<br/><br/>- 4등급 할머님 <br/>- 주3일 근무, 오후 13:00~16:00<br/>- 근무장소 : 금정구 금강로279번안길 33 (장전동)<br/>- 급여사항 : 시급 9,860원, 주휴수당 1,972원, 연차수당 568원, 기타수당 200원<br/>- 신체지원, 정서지원, 가사 및 일상생활지원 등<br/>- 지원문의 : 051-939-9002 (국민방문요양센터)
            </td>",요양보호사1급(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBA002409110003&rtnTarget=list6
워크넷,(주)세진환경종합개발,[온천동] 병원 미화원 채용,월급 208만원 ~ 208만원,24/09/11,정보 없음,"부산광역시 동래구 충렬대로 96, 광혜병원 (온천동)",경력 (최소 0년 6 개월 이상) 우대,학력무관,"주 6일 근무
(주 소정근로시간: 33시간)",사업지원 서비스업,,"<td>
              
              [온천동] 광혜병원 미화원 채용<br/><br/>- 부산 동래구 충렬대로 96 ,미남로터리 인근 광혜병원<br/>- 병원 내 해당구역 청소업무 (기계 X)<br/>- 월~금 : 06:00-15:30(휴게 3시간) 토: 06:00-12:30(휴게 1시간)<br/>* 평일 2시간씩 추가근무 있음(근무자 로테이션 근무) / 일요일 당직(1~2개월에 1회)<br/>- 접수: 방문, 팩스 051-336-6820<br/>- 급여: 208만원<br/><br/>※ 채용담당자: 010-5435-5809 통화 후 방문 [(주)세진환경종합개발] ※<br/><br/>***다만, 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정시간 이나 임금, 근무지 (예정)지 등에 차이가 있을 수 있습니다. <br/>자세한 사항은 근로계약 진행시 채용담당자와 협의하시길 바랍니다.<br/><br/>
</td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBG002409110007&rtnTarget=list7
워크넷,칠암재가복지센터,재가요양보호사 모집(반여동),"시급 9,860원 이상",24/09/11,24/09/25 마감,"부산광역시 해운대구 재반로270번길 51-29, 명선빌라 (반여동, 명선빌라)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",방문 복지서비스 제공업,,"<td>
              
              ㅁ 업  체 명 : 칠암재가복지센터<br/>ㅁ 근무주소 : 해운대구 재반로 270번길 51-29, 명선빌라<br/>ㅁ 모집직종 : 재가요양보호사  1명  (대상자: 79세, 4등급, 독거, 남자어르신)   <br/>                * 청소, 말벗, 가사 및 일상생활지원         <br/>ㅁ 우대사항 : 요양보호사자격증(필수)<br/>ㅁ 근무시간 : 주 5일,  11시~14시 <br/>ㅁ 급여사항 : 시급 12,500원 (수당포함)<br/>ㅁ 복리후생 : 4대보험<br/>ㅁ 접수방법 : 전화 후 접수문의 - 자격증사본, 건강검진서 (접수마감: 9/25일)<br/>ㅁ 문의 :  010-8127-3990 <br/><br/>** 실제 서비스 제공기간에 따라 임금을 계산하여  지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBD002409110009&rtnTarget=list8
워크넷,광안동재가복지센터,[ 광안동 ] 재가요양보호사 모집,"시급 12,400원 ~ 12,400원",24/09/11,정보 없음,"부산광역시 수영구 남천바다로21번길 51, . (광안동, 태평양하이츠)",경력 (최소 1년 0 개월 이상) 우대,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",보건 및 복지 행정,,"<td>
              
              [ 광안동 ] 재가요양보호사 선생님 모집합니다.<br/><br/>- 근무지 : 수영구 남천바다로 21번길 51, 태평양하이츠<br/>- 대상자 : 3등급 남자어르신 (80세) / 배우자 거주 (걷고 양호)<br/>- 근무시간 : 09:00~12:00(3시간), 주5일<br/>- 케어내용 : 운동 보조(30분~1시간) 및 청소 등 요양보호 업무 <br/>- 시급: 12,400원<br/><br/>- 채용담당자  010-8509-8805 [ 광안동재가복지센터 ]<br/>* 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정지) 등의 차이가 있을 수 있습니다.
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBM002409110035&rtnTarget=list9
워크넷,건강한재가복지센터,[청학동] 요양보호사 모집,"시급 9,860원 이상",24/09/11,정보 없음,"부산광역시 영도구 태종로 394, 청학 2동 행정복지센터 인근 (청학동)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",방문 복지서비스 제공업,,"<td>
              
              &lt;청학동 요양보호사 모집&gt;<br/><br/>- 3등급 80대 초반 할머니(배우자 거주)<br/>- 거동가능, 가사활동, 식사준비,병원동행(보호자 동행) 등<br/>- 근무시간:9:00~12:00 (주5일)<br/>- 시급: 12,500원(제수당 포함)<br/><br/><br/>*동 구인건은 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주소정근로시간이나 임금,근무(예정)등에 차이가 있을수 있음.
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10112409110002&rtnTarget=list10
워크넷,나눔재가복지센터,[괴정동] 재가요양보호사 모집,"시급 9,860원 ~ 9,860원",24/09/11,정보 없음,부산광역시 사하구 대티로 31 (괴정동),관계없음,학력무관,주 6일 근무,사회복지 상담서비스 제공업,,"<td>
              
              [ 괴정동] 재가요양보호사 선생님 모집합니다.<br/><br/>- 3등급 할머니 / 배우자 동거/ 80대 중반<br/>- 주6일 / 오후 2:00~5:00<br/>- 시급 9,860원 (수당별도/ 포함 시 약 12,500원)<br/>- 부축도움, 일상생활지원<br/>- 문의 010-8508-2541 [ 나눔재가복지센터 ]
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBQ002409110009&rtnTarget=list1
워크넷,으뜸재가복지센터,[북구 구포동] 재가요양보호사 모집,"시급 9,860원 ~ 12,500원",24/09/11,정보 없음,"부산광역시 북구 백양대로1124번길 70 (구포동, 대진아파트)",관계없음,학력무관,주 5일 근무,방문 복지서비스 제공업,,"<td>
              
              [북구 구포동] 재가요양보호사 모집합니다.<br/>- 5등급 여자어르신/ 독거<br/>- 북구 백양대로1124번길 70, 대진아파트<br/>- 치매교육이수자 <br/>- 주5일/ 09:00~12:00(시간조정 가능) <br/>- 시급 9,860원(수당 제외/ 포함시 약 12,500원)<br/><br/>※ 으뜸재가복지센터 : 051-527-5556/ 010-5029-7695 ※ <br/>
</td>","요양보호사(필수) ,
요양보호사1급(필수)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBG002409110006&rtnTarget=list2
워크넷,가빈노인사랑복지센터,[연산동] 재가요양보호사 모집,"시급 9,860원 ~ 12,500원",24/09/11,정보 없음,"부산광역시 연제구 거제천로118번길 51, . (연산동, 신우피렌체아파트)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",방문 복지서비스 제공업,,"<td>
<br/><br/>- 연제구 거체천로118번길 51 (연산동, 신우피렌체아파트)<br/>- 4등급 여자어르신, 칠십오세, <br/>- 주 5일, 화, 수, 목 09:00~12:00 /시급 9,860원(수당포함 시 12,500원)<br/>- 월, 금(10:00~13:00) <br/>- 병원동행 / 가사지원, 말벗,  <br/>- 1년 이내 건강검진 결과지 必<br/>- 채용 담당자 ☎ 010-7613-1328 [가빈노인사랑복지센터]<br/><br/>실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금,근무(예정)지 등에 차이가 있을수 있음.
            </td>",요양보호사1급(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBG002409110005&rtnTarget=list3
워크넷,준요양병원,요양병원 조리사 채용,월급 290만원 이상,24/09/11,정보 없음,"부산광역시 동래구 충렬대로 372, 준요양병원 (안락동)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 40시간)",요양 병원,,"<td>
              
              요양병원 조리사 채용<br/><br/>-근무시간 : 6:00-18:00(휴게시간 3시간)<br/>(월8회 휴무, 스케줄근무)<br/>-월 급여 290만원<br/>-조리사자격증 필수(한식, 일식, 양식 등 무관)
            </td>","한식조리기능사(필수)
기타 : 조리사 자격증 필수",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KEC0052409110002&rtnTarget=list4
워크넷,대열방문요양센터,[구서동] 재가요양보호사 모집,"시급 12,700원 ~ 12,700원",24/09/11,정보 없음,"부산광역시 금정구 구서중앙로 20 (구서동, 선경아파트)",경력 (최소 0년 6 개월 이상) 필수,학력무관,"주 5일 근무
(주 소정근로시간: 25시간)",노인 요양 복지시설 운영업,,"<td>
              
              [구서동] 재가요양보호사 모집<br/>- 대상자 : 3등급 80대 여자 어르신 (독거)  <br/>- 직무내용 : 식사도움, 재활도움, 목욕도움<br/>- 근무시간 : 10시~15시 (주 5일 / 5시간)<br/>* 월 2회~4회(매달 협의) 10:00~19:00 근무 가능한 자 <br/>* 하루 3시간 이후 시간은 자비부담 지급<br/>- 근무지: 부산 구서동 구서선경아파트 1차<br/>- 시   급 :  12,700원(수당포함) <br/>- 채용담당자 : 010-4014-9075<br/>※경력 6개월 이상 필수<br/><br/>동 구인은 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음
            </td>",요양보호사1급(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10922409110002&rtnTarget=list5
워크넷,남부건업(주),지사동 금강펜테리움 아파트미화원 ((북구청 채용대행)),월급 176만원 이상,24/09/11,정보 없음,"부산광역시 강서구 과학산단2로20번길 69, . (지사동, 지사금강펜테리움)",경력 (최소 1년 0 개월 이상) 우대,학력무관,"주 6일 근무
(주 소정근로시간: 33시간)",사업시설 유지․관리 서비스업,051-309-5227,"<td>
<br/>[지사동 금강펜테리움 아파트 미화원 채용 - 북구청 채용대행]<br/><br/>- 근로시간 : 평일 08:30~15:30 / 토 : 08:30~11:00 (주6일)<br/>- 급여 : 1,766,480원<br/>- 아파트 공용부분 청소 등 업무<br/><br/>* 지원문의 : 051-309-5227 (북구청 취업센터)
            </td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBI002409110005&rtnTarget=list6
워크넷,온누리재가노인복지센터,[장림동 ] 재가 요양보호사 모집,"시급 9,860원 ~ 9,860원",24/09/11,정보 없음,"부산광역시 사하구 하신중앙로 2 (장림동, 동원로얄듀크)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",사회복지 상담서비스 제공업,051-220-5692,"<td>
              
              [ 장림동 ] 동원로얄듀크 <br/>- 4등급80대여자어르신<br/>- 주 5일, 오전 09:00~12:00(시간 협의 가능) <br/>- 이동도움,청소,세탁 등 일상생활지원<br/>- 시급: 9,860원 (제수당 포함 시간당 12,600원)<br/><br/>* 부산 사하구청 일자리지원센터에서 서류전형 채용대행접수 진행중입니다.<br/>  실제 구직의사 있는 분들만 접수 부탁드립니다. (지원문의: 051-220-5692)<br/>
</td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBK002409110002&rtnTarget=list7
워크넷,가엘 재가 복지센터,[괘법동]재가요양보호사 모집,"시급 9,860원 ~ 9,860원",24/09/11,정보 없음,"부산광역시 사상구 낙동대로1210번길 53, 인근주택 (괘법동, 한신아파트)",관계없음,학력무관,"주 4일 근무
(주 소정근로시간: 12시간)",방문 복지서비스 제공업,,"<td>
              
              *괘법동 한신2차 아파트 맞은편주택거주<br/>- 4등급 여자 어르신 (독거)<br/>- 근무시간; 07:30~08:30, 17:00~19:00 / 주4일 (월~목)<br/>- 주간보호센터에 다니고계심. (식사하고오심)<br/>- 기저귀케어 가능하신분<br/>- 시급: 12,500원(주휴및 제 수당 포함)<br/>
</td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBJ002409110001&rtnTarget=list8
워크넷,남부건업(주),[부암동] 아파트 경비원 모집,월급 278만원 ~ 278만원,24/09/11,24/11/10 마감,"부산광역시 부산진구 백양순환로 75, 부암3동 (부암동, 백양산롯데캐슬골드센트럴아파트)",경력 (최소 0년 6 개월 이상) 필수,학력무관,"주 4일 근무
(주 소정근로시간: 40시간)",사업시설 유지․관리 서비스업,051-309-5228,"<td>
              
              ▣ 북구청 채용대행 ▣<br/>지원 희망시  북구청 취업정보센터/ 담당자: 하효진 051-309-5228<br/>===========================================<br/><br/>(부암동) 백양산 롯데캐슬골드센트럴 아파트 경비원 모집<br/><br/>1. 모집직종 :  경비원 1명<br/>2. 급여 : 2,780,520원<br/>3. 근무시간 : 격일제 07시~익일07시 (휴게- 주간 2시간, 야간 5시간)<br/>4. 경비이수증 필수 또는 면제자 (경증장애인 채용 우대)<br/>5. 경력사항: 6개월 이상 필수<br/><br/>▣ 지원문의 : 북구청 취업정보센터 (T. 051-309-5228)<br/>
</td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBI002409110004&rtnTarget=list9
워크넷,신고려방문요양센터,재가요양보호사 모집(정관),"시급 9,860원 ~ 9,860원",24/09/11,24/11/10 마감,"부산광역시 기장군 정관읍 정관로 513, , (정관신도시 계룡리슈빌)",관계없음,학력무관,"주 3일 근무
(주 소정근로시간: 9시간)",노인 요양 복지시설 운영업,,"<td>
              
              ㅁ 업 체 명 : 신고려방문요양센터(기장센터)<br/>ㅁ 근무주소 : 정관읍 계룡리슈빌<br/>ㅁ 모집직종 : 재가요양보호사  1명 ( 대상자 : 4등급 80대 여자어르신/ 가족거주, 케어시간에 부재)   <br/>ㅁ 우대사항 : 요양보호사 자격증(필수)<br/>ㅁ 근무시간 : 주 3일, 14:00~17:00<br/>ㅁ 급여사항 : 시급 13,000원 (수당포함)<br/>ㅁ 복리후생 : 고용,산재보험<br/>ㅁ 접수방법 : 전화 후 방문 - 자격증 사본, 건강검진 결과지(1년이내)<br/>ㅁ 문의 : 010-9580-0428 <br/><br/>** 동 구인은 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음 **
            </td>",요양보호사1급(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBD002409110006&rtnTarget=list10
워크넷,선안요양병원,요양병원 미화원 모집,월급 184만원 ~ 184만원,24/09/11,정보 없음,부산광역시 사하구 다대로 616 (다대동),관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 32시간)",요양 병원,,"<td>
              
              -요양병원 미화업무<br/><br/>-평일 7시~ 15시(휴게 1시간30분)<br/>-토요일 격주근무 7시~ 12시<br/><br/>- 월급 : 1,843,820원<br/>
</td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KEC0052409110001&rtnTarget=list1
워크넷,효당재가노인복지센터,[망미동] 재가요양보호사 모집,"시급 9,860원 ~ 12,500원",24/09/11,24/11/10 마감,부산광역시 수영구 연수로260번길 53 (망미동),관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",방문 복지서비스 제공업,,"<td>
              
              [망미동] 재가요양보호사 모집<br/><br/>- 수영구 연수로 지하337, 망미 지하철역에서 5분거리<br/>- 4등급 75세 남자어르신/ 독거/ 거동가능<br/>- 주5일/ 오전, 오후 모두 가능(시간협의)<br/>- 시급: 9,860원(수당포함 시 약 12,500원)<br/>- 식사도움 우선 희망/ 그 외 일반적인 요양보호사 업무<br/><br/>※ 문의 010-7305-1848 / 051-525-2301 [효당재가노인복지센터] ※
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBG002409110003&rtnTarget=list2
워크넷,해피빌요양원,해피빌요양원 시설관리인 구인,월급 206만원 ~ 210만원,24/09/11,24/09/20 마감,부산광역시 사하구 다대로83번길 111 (괴정동),관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 40시간)",노인 요양 복지시설 운영업,051-220-5696,"<td>
              
              * 노인요양시설 관리인 업무<br/>- 설비 등 관련 분야 경력자 우대<br/>- 시설 전반적인 관리(간단한 수리 등) 및 어르신 외래진료 방문시 운전, 도움 <br/>- 요양원 시설관리 <br/><br/>- 필수사항 : 운전이 가능한 자  <br/><br/><br/>* 부산 사하구청 일자리지원센터에서 서류전형 채용대행접수 진행중입니다.<br/>  실제 구직의사 있는 분들만 접수 부탁드립니다. (지원문의: 051-220-5696)
            </td>",자동차운전면허1종보통(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K130052409110006&rtnTarget=list3
